,album,aluri,track_number,trid,name,artist,arid,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,1,02ZxMmzmXSjOSaHnKsN5ID,"Me, Myself & I",Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0176,0.446,0.861,0.00433,0.149,-6.765,0.0492,157.84,0.646,70
1,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,2,0ssRH9I8P7X7tawJQiIhzE,1993 (feat. Little Ricky ZR3),Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.00633,0.701,0.676,1.34e-05,0.0704,-5.873,0.0642,105.041,0.54,70
2,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,3,6ie5en0vOy4GUercEUUNfJ,Cash Machine,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0159,0.417,0.624,0.000125,0.175,-6.61,0.037,200.136,0.497,71
3,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,4,0jk6J6B9ivegJc7dTg10Mp,Let Me Down,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0114,0.457,0.648,1.69e-05,0.212,-5.762,0.0552,160.021,0.736,74
4,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,5,2PFnwW05Wh0MYkfZxSwfuf,Miracle Man,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0932,0.67,0.477,0.0,0.414,-7.774,0.0308,140.029,0.662,72
5,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,6,3sm9P6PgKzatTgyiyj0IzQ,Bury Me Alive,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0149,0.636,0.817,3.1e-06,0.196,-6.236,0.167,103.929,0.638,68
6,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,7,3BIIJgBJJ7NhhCv4MI6n7w,Alien Boy,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0597,0.792,0.576,0.0,0.186,-7.046,0.132,130.135,0.52,78
7,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,8,0MlFZLrCgd14Q0VNKRO8vo,Joke's On You!,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.00449,0.567,0.8,0.000134,0.301,-6.887,0.113,156.963,0.376,66
8,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,9,4KiTVvoDILkT9vi8JhtfZm,Again & Again,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.000216,0.575,0.736,0.000438,0.575,-6.001,0.0355,135.081,0.568,67
9,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,10,64mQsIB5PehdqjSRBNYLmD,Waste My Time,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.00473,0.61,0.818,0.0,0.475,-6.839,0.0392,144.0,0.274,65
10,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,11,065bY5WrLvI3NN9VCK0QLe,Jerk,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0327,0.521,0.707,0.000164,0.227,-4.101,0.0428,159.824,0.298,72
11,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,12,6Ph8QwsRfZunN5e1GGBIqa,Hurt,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.0173,0.563,0.784,0.0,0.467,-5.875,0.0402,93.992,0.424,74
12,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,13,1NqZLnMekPpw6lYTartrng,Introspective,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.239,0.553,0.799,1.46e-06,0.343,-4.46,0.0362,78.0,0.505,65
13,Ugly is Beautiful,spotify:album:1HmWQo43Gt8BR2dylfv3o4,14,6Em6BtxvTsQrXFsFVzAEym,I'm Gone,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,0.00531,0.253,0.676,7.85e-06,0.256,-6.13,0.0455,180.031,0.306,69
