,album,aluri,track_number,trid,name,artist,arid,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,1,2r7dK73sLbh1rSIV2lBMkK,BILLBOARD BABY,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.19,0.956,0.742,0.0,0.126,-5.59,0.144,120.067,0.582,68
1,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,2,4Z5FyQlevoHoa5FsIVKZju,PRACTICE,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0239,0.849,0.536,0.0,0.126,-7.307,0.349,141.964,0.308,67
2,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,3,5GATP9D34th0D88vlKi38F,PEEP HOLE,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.00332,0.833,0.513,0.000133,0.115,-9.865,0.392,127.884,0.478,71
3,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,4,2T5NBwKRySiCR78vVk08vr,BLIND (feat. Young Thug),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0115,0.709,0.679,0.0,0.0971,-6.503,0.346,162.973,0.754,82
4,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,5,1gIlID64VBhXDDnzGDdn09,NO DRIBBLE (feat. Stunna 4 Vegas),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0064,0.775,0.58,0.0,0.354,-6.83,0.439,130.032,0.762,68
5,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,6,5WpR5mGVRi9NgnKAQsT4eE,GO,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0824,0.795,0.823,0.0,0.13,-4.137,0.252,132.92,0.912,68
6,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,7,5SRK7ywzkqnHdiEYXfk9Aa,TROUBLE,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0352,0.888,0.533,0.0,0.124,-7.79,0.425,83.955,0.464,66
7,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,8,5Vs6E5bwzYsINLiY7v3BxX,CALL IT EVEN,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0144,0.863,0.533,2.62e-06,0.287,-9.247,0.385,129.344,0.725,66
8,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,9,4MfMLSJD5dKW0zXa9daLmk,TLC (feat. Gunna),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0188,0.908,0.607,0.0,0.107,-6.499,0.311,131.075,0.345,68
9,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,10,6rVDrikWiM60hTlAxXbOjd,GO FIRST (feat. Stunna 4 Vegas & Rich Dunk),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0176,0.84,0.644,0.0,0.114,-6.923,0.428,139.55,0.703,66
10,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,11,1ImNE2D8vw3ZoFCHMfHvXq,CAN'T STOP,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0348,0.732,0.707,0.0,0.399,-5.849,0.304,140.04,0.832,60
11,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,12,2FHjrUyfOa45Pk4YEn7uH9,PICK UP (feat. Quavo),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0944,0.915,0.612,0.0,0.115,-4.535,0.407,129.93,0.758,61
12,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,13,5mv3UGD6eeh6nMyWSzt8z3,LIGHTSKIN SH*T (feat. Future & jetsonmade),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.115,0.932,0.578,0.0,0.115,-4.478,0.366,129.991,0.623,61
13,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,14,5iCChRRFz1yh6YKpQbjMVb,TALK ABOUT IT,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.00206,0.951,0.638,0.0,0.113,-5.614,0.308,123.948,0.439,59
14,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,15,0ntq9wCiTFdhExVLbT9Daq,SAD SH*T,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.195,0.835,0.466,0.0,0.372,-8.949,0.391,124.885,0.562,59
15,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,16,0gkfXiZISxlpwmjEcS9fhM,FIND MY WAY,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.187,0.836,0.624,0.0,0.138,-6.75,0.184,103.0,0.7,59
16,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,17,37pXjFZuAYs6HgWaEbKokc,ROCKSTAR (feat. Roddy Ricch),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.979,0.497,58
17,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,18,1dorm2V2hMTJdrhzSiXgr2,JUMP (feat. YoungBoy Never Broke Again),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.169,0.896,0.72,0.0,0.252,-6.262,0.355,140.1,0.966,59
18,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,19,0SkfROJiHssTd1Vw1VVN5S,CHAMPION,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.071,0.828,0.538,0.0,0.116,-6.067,0.341,145.074,0.56,58
19,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,20,2YMl0ALCVFe4iuZuqbT33m,DROP (feat. A Boogie wit da Hoodie & London On Da Track),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.121,0.833,0.589,0.0,0.299,-6.384,0.231,96.455,0.536,59
20,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,21,793TPACVk2YTyRypDUrWPJ,BLAME IT ON BABY,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.236,0.875,0.687,0.0,0.141,-5.734,0.387,109.791,0.864,59
21,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,22,68kS24YnWo1xUtkhMEkFEV,NASTY (feat. Ashanti & Megan Thee Stallion),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0289,0.768,0.635,0.0,0.312,-4.925,0.15,160.992,0.64,58
22,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,23,5RifeZOB8PnU04CVwmzLiV,AMAZING GRACE,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0375,0.775,0.832,0.0,0.078,-3.629,0.277,153.6,0.962,56
23,BLAME IT ON BABY (DELUXE),spotify:album:6SL49HqoUwu2hhfukBAK3Q,24,3GBWERDFODMjX1ysTXLnmS,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.197,0.747,0.689,0.0,0.0884,-7.246,0.242,89.901,0.75,68
24,BLAME IT ON BABY (DELUXE),spotify:album:7E2Jnmff9veZnuyOwXHGbS,1,64Z7TI25PwgZpRqqWXBE7W,BILLBOARD BABY,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.224,0.777,0.766,0.0,0.118,-5.708,0.372,59.206,0.592,40
25,BLAME IT ON BABY (DELUXE),spotify:album:7E2Jnmff9veZnuyOwXHGbS,2,1h83kJ89RP7hqQ3MbALv93,PRACTICE,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0281,0.849,0.522,0.0,0.14,-7.721,0.361,142.048,0.279,38
26,BLAME IT ON BABY (DELUXE),spotify:album:7E2Jnmff9veZnuyOwXHGbS,3,0CQgAApEroAYLtVfFmn5Oe,PEEP HOLE,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.00398,0.84,0.53,0.000901,0.151,-9.876,0.447,128.054,0.484,41
27,BLAME IT ON BABY (DELUXE),spotify:album:7E2Jnmff9veZnuyOwXHGbS,4,5ctAxAK2jQL8J1hsNSbA6b,BLIND (feat. Young Thug),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0114,0.788,0.665,0.0,0.088,-6.564,0.215,81.502,0.709,58
28,BLAME IT ON BABY (DELUXE),spotify:album:7E2Jnmff9veZnuyOwXHGbS,5,2LzwNizPxupoDLf6lxZSwp,NO DRIBBLE (feat. Stunna 4 Vegas),DaBaby,4r63FhuTkUYltbVAg5TQnk,0.0157,0.766,0.563,0.0,0.379,-6.948,0.454,129.687,0.769,37
