,album,aluri,track_number,trid,name,artist,arid,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,1,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.124,0.64,0.647,0.0,0.0801,-8.114,0.186,92.979,0.546,75
1,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,2,4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.148,0.857,0.621,0.0,0.0865,-6.376,0.0825,97.989,0.668,78
2,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,3,4wuCQX7JvAZLlrcmH4AeZF,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.212,0.746,0.787,0.0,0.0669,-6.373,0.12,95.005,0.607,62
3,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,4,1AI7UPw3fgwAFkvAlZWhE0,Take Me Back to London (feat. Stormzy),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.219,0.885,0.762,0.0,0.162,-5.513,0.216,138.058,0.605,69
4,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,5,0VsGaRXR5WAzpu51unJTis,Best Part of Me (feat. YEBBA),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.758,0.565,0.243,8.82e-06,0.285,-8.367,0.0317,81.655,0.239,67
5,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,6,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.0902,0.798,0.676,0.0,0.0894,-5.041,0.0442,101.956,0.843,75
6,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,7,1DhRbox3xkceP64k3JeYfW,Antisocial (with Travis Scott),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.132,0.716,0.823,0.0,0.361,-5.313,0.0495,151.957,0.91,66
7,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,8,0AtP8EkGPn6SwxKDaUuXec,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.135,0.852,0.666,0.0,0.798,-6.923,0.184,91.046,0.726,67
8,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,9,1Bdptrvb7nQkq8kCw3siE9,Feels (feat. Young Thug & J Hus),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.112,0.665,0.68,0.0,0.096,-4.898,0.291,91.667,0.69,56
9,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,10,5T03itPFOPGGkvVPvPiyla,Put It All on Me (feat. Ella Mai),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.256,0.627,0.594,0.0,0.373,-8.306,0.0479,101.007,0.388,61
10,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,11,2qRN7PWiHRLprw4FpDeI9N,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.333,0.747,0.649,0.0,0.172,-6.218,0.218,88.011,0.84,62
11,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,12,3FHXUqaUer9o231Je1zxIN,I Don't Want Your Money (feat. H.E.R.),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.31,0.468,0.63,0.0,0.137,-6.536,0.0843,91.419,0.762,57
12,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,13,4vIKzWqtn44umal5jXq4wE,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.467,0.778,0.589,0.0,0.0902,-5.548,0.269,98.001,0.513,58
13,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,14,5d1rmWWF1725tnYjq6rMDB,Way To Break My Heart (feat. Skrillex),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.11,0.726,0.731,3.45e-06,0.0928,-6.298,0.159,170.125,0.437,56
14,No.6 Collaborations Project,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,15,7hvO2qCwJVZxiyoA7c9i5d,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0.000245,0.631,0.796,0.0108,0.38,-5.35,0.0401,92.47,0.596,60
